,time,tar_mag,filter
0,61370.269,14.420236206742851,z
1,62278.228,14.432342335189748,z
2,62837.873,14.374243861175248,z
3,63739.645,14.3838916909882,z
4,66798.808,14.31336816144444,z
5,69397.953,13.844358409705837,z
6,72624.645,13.896329758838876,z
7,76368.681,14.10817266912731,z
8,79616.448,14.40599686658467,z
9,61548.311,14.409487735757155,i
10,62093.429,14.418383033242433,i
11,63018.404,14.427016065766404,i
12,63561.828,14.416151003774566,i
13,69214.707,13.78486547849688,i
14,72446.598,13.776515603511541,i
15,76185.505,13.968853949025096,i
16,79431.999,14.134731147083746,i
17,61728.434,14.719004011804882,g
18,62462.309,14.701020384548396,g
19,63198.348,14.7707600344019,g
20,63919.654,14.8416664439136,g
21,67171.513,14.240686592339703,g
22,68853.065,13.578189487200579,g
23,72085.937,13.618015544910463,g
24,75829.901,13.928929450565107,g
25,79801.654,14.3038540745206,g
26,61906.748,14.489428238776242,r
27,62644.857,14.50233509391204,r
28,63382.803,14.50218182273012,r
29,64106.345,14.516511034547777,r
30,66992.055,14.193982282447607,r
31,69030.443,13.641680197875043,r
32,72269.661,13.712411582207212,r
33,76008.017,13.888332635986009,r
34,79979.401,14.135324902271046,r
